"pi" "FHC" "HC"
1 0.506406304 0.077183047
0.99 0.498400292 0.076645069
0.98 0.490426909 0.076119301
0.97 0.482488973 0.075605357
0.96 0.474589233 0.075102862
0.95 0.466730373 0.074611454
0.94 0.458915003 0.074130777
0.93 0.451145664 0.07366049
0.92 0.443424823 0.07320026
0.91 0.43575487 0.072749763
0.9 0.428138123 0.072308686
0.89 0.420576821 0.071876725
0.88 0.413073127 0.071453587
0.87 0.405629123 0.071038985
0.86 0.398246814 0.070632642
0.85 0.390928127 0.07023429
0.84 0.383674905 0.069843669
0.83 0.376488915 0.069460527
0.82 0.369371841 0.069084621
0.81 0.362325288 0.068715713
0.8 0.355350781 0.068353576
0.79 0.348449764 0.067997987
0.78 0.341623602 0.067648733
0.77 0.334873581 0.067305605
0.76 0.328200908 0.066968404
0.75 0.32160671 0.066636934
0.74 0.315092039 0.066311008
0.73 0.308657868 0.065990444
0.72 0.302305096 0.065675066
0.71 0.296034546 0.065364705
0.7 0.289846966 0.065059195
0.69 0.283743032 0.064758378
0.68 0.277723348 0.064462101
0.67 0.271788448 0.064170214
0.66 0.265938795 0.063882576
0.65 0.260174784 0.063599046
0.64 0.254496745 0.063319491
0.63 0.24890494 0.063043782
0.62 0.243399569 0.062771793
0.61 0.237980769 0.062503405
0.6 0.232648616 0.0622385
0.59 0.227403126 0.061976966
0.58 0.222244258 0.061718695
0.57 0.217171914 0.061463581
0.56 0.212185942 0.061211524
0.55 0.207286138 0.060962425
0.54 0.202472245 0.06071619
0.53 0.197743956 0.060472729
0.52 0.193100919 0.060231952
0.51 0.188542734 0.059993777
0.5 0.184068956 0.05975812
0.49 0.179679098 0.059524903
0.48 0.175372631 0.059294049
0.47 0.171148989 0.059065486
0.46 0.167007567 0.058839142
0.45 0.162947722 0.058614949
0.44 0.158968781 0.058392841
0.43 0.155070034 0.058172754
0.42 0.151250742 0.057954628
0.41 0.147510139 0.057738402
0.4 0.143847426 0.05752402
0.39 0.140261783 0.057311427
0.38 0.136752363 0.05710057
0.37 0.133318295 0.056891397
0.36 0.12995869 0.056683859
0.35 0.126672635 0.056477909
0.34 0.123459201 0.0562735
0.33 0.120317442 0.056070589
0.32 0.117246394 0.055869132
0.31 0.114245083 0.055669089
0.3 0.111312517 0.055470419
0.29 0.108447697 0.055273084
0.28 0.10564961 0.055077048
0.27 0.102917237 0.054882275
0.26 0.100249549 0.05468873
0.25 0.097645511 0.05449638
0.24 0.095104083 0.054305194
0.23 0.09262422 0.05411514
0.22 0.090204875 0.053926188
0.21 0.087844996 0.053738311
0.2 0.085543533 0.053551479
0.19 0.083299433 0.053365667
0.18 0.081111645 0.053180848
0.17 0.07897912 0.052996999
0.16 0.076900811 0.052814094
0.15 0.074875672 0.05263211
0.14 0.072902665 0.052451026
0.13 0.070980755 0.052270819
0.12 0.06910891 0.052091468
0.11 0.067286109 0.051912954
0.1 0.065511334 0.051735258
0.09 0.063783577 0.051558359
0.08 0.062101836 0.05138224
0.07 0.060465118 0.051206884
0.06 0.058872441 0.051032274
0.05 0.057322831 0.050858393
0.04 0.055815323 0.050685225
0.03 0.054348966 0.050512755
0.02 0.052922817 0.050340969
0.01 0.051535946 0.050169851
0 0.050187432 0.049999389
