"pi" "FHC" "HC"
1 1 0.999997795
0.99 1 0.999996894
0.98 0.999999999 0.999995648
0.97 0.999999999 0.999993931
0.96 0.999999998 0.999991578
0.95 0.999999997 0.999988369
0.94 0.999999996 0.999984017
0.93 0.999999993 0.999978142
0.92 0.99999999 0.999970254
0.91 0.999999984 0.999959717
0.9 0.999999976 0.999945713
0.89 0.999999963 0.999927198
0.88 0.999999945 0.999902843
0.87 0.999999916 0.999870973
0.86 0.999999875 0.999829484
0.85 0.999999813 0.999775752
0.84 0.999999722 0.999706525
0.83 0.999999589 0.999617798
0.82 0.999999395 0.999504671
0.81 0.999999115 0.999361185
0.8 0.999998712 0.999180144
0.79 0.999998135 0.998952916
0.78 0.999997314 0.998669212
0.77 0.99999615 0.998316859
0.76 0.999994511 0.99788155
0.75 0.999992214 0.997346596
0.74 0.999989012 0.996692663
0.73 0.999984575 0.99589753
0.72 0.999978459 0.994935845
0.71 0.999970073 0.993778914
0.7 0.999958639 0.992394525
0.69 0.999943134 0.990746818
0.68 0.999922224 0.988796218
0.67 0.999894183 0.986499445
0.66 0.999856785 0.983809617
0.65 0.999807186 0.980676454
0.64 0.999741774 0.977046604
0.63 0.999655991 0.972864089
0.62 0.999544126 0.968070896
0.61 0.999399073 0.9626077
0.6 0.999212053 0.956414724
0.59 0.998972298 0.949432733
0.58 0.998666696 0.941604152
0.57 0.998279403 0.932874279
0.56 0.997791412 0.923192578
0.55 0.997180107 0.912514032
0.54 0.996418784 0.900800489
0.53 0.995476175 0.888022007
0.52 0.99431597 0.874158108
0.51 0.992896369 0.859198938
0.5 0.991169682 0.843146254
0.49 0.989082002 0.826014224
0.48 0.986572981 0.807829973
0.47 0.983575739 0.788633868
0.46 0.980016945 0.768479497
0.45 0.975817096 0.747433331
0.44 0.970891026 0.725574071
0.43 0.965148683 0.702991666
0.42 0.958496179 0.679786047
0.41 0.950837148 0.656065573
0.4 0.942074398 0.631945256
0.39 0.932111864 0.607544799
0.38 0.920856832 0.582986506
0.37 0.908222398 0.558393127
0.36 0.894130118 0.533885702
0.35 0.878512766 0.50958147
0.34 0.861317126 0.485591903
0.33 0.842506729 0.462020919
0.32 0.822064406 0.438963329
0.31 0.799994577 0.416503559
0.3 0.776325135 0.394714664
0.29 0.751108844 0.373657664
0.28 0.72442413 0.353381201
0.27 0.696375213 0.333921502
0.26 0.667091499 0.315302651
0.25 0.636726218 0.297537118
0.24 0.6054543 0.280626525
0.23 0.573469531 0.264562603
0.22 0.540981049 0.249328296
0.21 0.508209277 0.234898962
0.2 0.475381434 0.221243632
0.19 0.442726756 0.208326279
0.18 0.410471603 0.196107061
0.17 0.378834624 0.184543496
0.16 0.348022162 0.173591558
0.15 0.318224048 0.163206654
0.14 0.289609943 0.153344486
0.13 0.262326355 0.143961767
0.12 0.236494402 0.135016821
0.11 0.212208408 0.126470034
0.1 0.189535316 0.118284194
0.09 0.168514926 0.11042471
0.08 0.149160903 0.102859737
0.07 0.131462452 0.095560207
0.06 0.115386577 0.088499796
0.05 0.100880784 0.081654829
0.04 0.087876101 0.075004148
0.03 0.076290265 0.06852894
0.02 0.066030963 0.062212556
0.01 0.056998988 0.056040318
0 0.049091212 0.049999317
