"pi" "FHC" "HC"
1 1 1
0.99 1 1
0.98 1 1
0.97 1 1
0.96 1 1
0.95 1 1
0.94 1 1
0.93 1 1
0.92 1 1
0.91 1 1
0.9 1 0.999999999
0.89 1 0.999999998
0.88 1 0.999999996
0.87 1 0.999999991
0.86 1 0.999999981
0.85 1 0.999999959
0.84 1 0.999999913
0.83 1 0.999999823
0.82 1 0.999999645
0.81 1 0.999999305
0.8 1 0.99999867
0.79 1 0.999997506
0.78 1 0.999995421
0.77 1 0.999991762
0.76 1 0.999985466
0.75 1 0.999974848
0.74 1 0.999957283
0.73 1 0.999928773
0.72 0.999999999 0.999883348
0.71 0.999999998 0.999812282
0.7 0.999999996 0.999703067
0.69 0.999999992 0.999538141
0.68 0.999999984 0.999293332
0.67 0.999999966 0.998936033
0.66 0.999999931 0.998423136
0.65 0.999999864 0.997698785
0.64 0.999999735 0.996692065
0.63 0.999999495 0.995314775
0.62 0.999999055 0.993459489
0.61 0.999998264 0.990998138
0.6 0.999996868 0.987781385
0.59 0.999994452 0.983639059
0.58 0.999990341 0.978381902
0.57 0.99998347 0.971804834
0.56 0.999972185 0.963691858
0.55 0.999953964 0.95382263
0.54 0.999925035 0.94198056
0.53 0.999879857 0.927962198
0.52 0.999810447 0.911587494
0.51 0.999705505 0.892710387
0.5 0.999549329 0.871229099
0.49 0.9993205 0.847095435
0.48 0.998990328 0.820322398
0.47 0.99852109 0.790989489
0.46 0.997864088 0.759245181
0.45 0.996957631 0.72530622
0.44 0.995725033 0.689453624
0.43 0.994072788 0.652025474
0.42 0.991889113 0.613406821
0.41 0.989043064 0.574017233
0.4 0.985384461 0.534296686
0.39 0.980744832 0.494690592
0.38 0.974939589 0.455634824
0.37 0.967771559 0.417541553
0.36 0.959035955 0.380786656
0.35 0.948526755 0.345699279
0.34 0.936044331 0.312554015
0.33 0.921404082 0.281565907
0.32 0.904445675 0.252888341
0.31 0.885042418 0.226613664
0.3 0.863110203 0.202776256
0.29 0.838615434 0.181357618
0.28 0.811581358 0.162293004
0.27 0.782092281 0.145479067
0.26 0.750295259 0.130782014
0.25 0.716399019 0.118045793
0.24 0.680669996 0.107099923
0.23 0.643425635 0.097766638
0.22 0.605025227 0.08986712
0.21 0.565858757 0.0832267
0.2 0.526334374 0.077678953
0.19 0.486865152 0.073068722
0.18 0.447855884 0.069254139
0.17 0.409690595 0.066107751
0.16 0.372721415 0.063516898
0.15 0.337259308 0.061383482
0.14 0.303567047 0.059623279
0.13 0.271854615 0.058164926
0.12 0.242277093 0.056948706
0.11 0.214934907 0.055925238
0.1 0.189876206 0.055054138
0.09 0.167101007 0.054302731
0.08 0.146566727 0.053644838
0.07 0.128194635 0.053059686
0.06 0.111876826 0.052530931
0.05 0.09748328 0.052045822
0.04 0.084868696 0.051594482
0.03 0.073878798 0.051169311
0.02 0.064355924 0.050764499
0.01 0.056143768 0.050375619
0 0.049091212 0.049999317
