"pi" "FHC" "HC"
1 0.789296572 0.516936023
0.99 0.782693047 0.510655008
0.98 0.775966053 0.504384348
0.97 0.769116598 0.498125543
0.96 0.762145832 0.491880065
0.95 0.755055053 0.485649358
0.94 0.747845702 0.479434839
0.93 0.740519373 0.473237893
0.92 0.733077804 0.467059874
0.91 0.725522885 0.460902105
0.9 0.717856653 0.454765874
0.89 0.710081295 0.448652434
0.88 0.702199146 0.442563007
0.87 0.694212689 0.436498776
0.86 0.686124554 0.430460887
0.85 0.677937515 0.42445045
0.84 0.669654492 0.418468538
0.83 0.661278543 0.412516183
0.82 0.652812869 0.406594382
0.81 0.644260805 0.400704088
0.8 0.635625822 0.394846218
0.79 0.626911519 0.389021649
0.78 0.618121625 0.383231215
0.77 0.60925999 0.377475712
0.76 0.600330584 0.371755896
0.75 0.59133749 0.366072481
0.74 0.582284901 0.360426142
0.73 0.573177118 0.354817512
0.72 0.564018536 0.349247187
0.71 0.554813647 0.343715719
0.7 0.545567031 0.338223623
0.69 0.536283348 0.332771373
0.68 0.526967335 0.327359406
0.67 0.517623797 0.321988119
0.66 0.5082576 0.31665787
0.65 0.498873667 0.31136898
0.64 0.489476967 0.306121734
0.63 0.480072512 0.300916379
0.62 0.470665343 0.295753127
0.61 0.46126053 0.290632153
0.6 0.451863158 0.285553601
0.59 0.442478323 0.280517576
0.58 0.433111123 0.275524155
0.57 0.423766649 0.270573379
0.56 0.414449976 0.265665261
0.55 0.405166161 0.26079978
0.54 0.395920226 0.255976887
0.53 0.386717157 0.251196505
0.52 0.377561893 0.246458527
0.51 0.368459316 0.241762822
0.5 0.35941425 0.23710923
0.49 0.350431445 0.232497568
0.48 0.341515575 0.227927628
0.47 0.332671227 0.223399179
0.46 0.323902897 0.218911969
0.45 0.315214979 0.214465723
0.44 0.306611762 0.210060148
0.43 0.298097419 0.20569493
0.42 0.289676005 0.201369738
0.41 0.281351446 0.197084223
0.4 0.273127538 0.192838023
0.39 0.265007935 0.188630755
0.38 0.256996152 0.184462028
0.37 0.24909555 0.180331434
0.36 0.24130934 0.176238553
0.35 0.233640574 0.172182955
0.34 0.22609214 0.168164198
0.33 0.218666763 0.164181832
0.32 0.211366997 0.160235398
0.31 0.204195224 0.156324428
0.3 0.197153652 0.152448448
0.29 0.19024431 0.148606978
0.28 0.183469052 0.144799532
0.27 0.17682955 0.14102562
0.26 0.170327293 0.137284748
0.25 0.163963593 0.133576419
0.24 0.157739577 0.129900133
0.23 0.151656193 0.126255388
0.22 0.145714206 0.122641684
0.21 0.139914204 0.119058517
0.2 0.134256595 0.115505385
0.19 0.128741613 0.111981786
0.18 0.123369315 0.10848722
0.17 0.118139591 0.105021189
0.16 0.113052159 0.101583196
0.15 0.108106573 0.098172749
0.14 0.103302228 0.094789357
0.13 0.098638359 0.091432534
0.12 0.094114049 0.088101799
0.11 0.089728233 0.084796673
0.1 0.085479702 0.081516685
0.09 0.081367109 0.078261366
0.08 0.077388973 0.075030255
0.07 0.073543688 0.071822894
0.06 0.069829523 0.068638835
0.05 0.066244634 0.065477633
0.04 0.062787065 0.062338849
0.03 0.05945476 0.059222054
0.02 0.056245564 0.056126822
0.01 0.053157231 0.053052738
0 0.050187432 0.049999389
