"pi" "FHC" "HC"
1 0.999995567 0.976190368
0.99 0.999993667 0.972057351
0.98 0.999991024 0.967367613
0.97 0.999987372 0.962074225
0.96 0.999982367 0.956130585
0.95 0.999975558 0.949491108
0.94 0.999966361 0.942111962
0.93 0.999954029 0.933951842
0.92 0.999937606 0.924972756
0.91 0.99991589 0.915140824
0.9 0.999887369 0.904427053
0.89 0.999850161 0.892808091
0.88 0.999801941 0.880266917
0.87 0.999739854 0.866793473
0.86 0.999660426 0.852385202
0.85 0.999559452 0.837047493
0.84 0.999431887 0.820793996
0.83 0.999271714 0.803646825
0.82 0.999071816 0.785636615
0.81 0.998823824 0.766802442
0.8 0.998517979 0.747191598
0.79 0.998142971 0.72685923
0.78 0.997685795 0.705867836
0.77 0.997131599 0.684286635
0.76 0.996463542 0.662190825
0.75 0.995662672 0.639660737
0.74 0.994707814 0.6167809
0.73 0.993575483 0.593639045
0.72 0.992239831 0.570325064
0.71 0.990672625 0.546929938
0.7 0.988843267 0.523544666
0.69 0.986718864 0.500259208
0.68 0.984264345 0.477161467
0.67 0.981442635 0.454336326
0.66 0.978214893 0.431864753
0.65 0.9745408 0.409822996
0.64 0.970378923 0.388281878
0.63 0.965687124 0.367306193
0.62 0.960423039 0.346954219
0.61 0.954544603 0.327277351
0.6 0.948010622 0.30831985
0.59 0.94078139 0.290118704
0.58 0.932819327 0.272703613
0.57 0.924089636 0.256097065
0.56 0.914560976 0.240314522
0.55 0.904206107 0.225364688
0.54 0.893002533 0.211249854
0.53 0.880933093 0.197966313
0.52 0.867986508 0.185504824
0.51 0.854157863 0.173851119
0.5 0.839449008 0.162986436
0.49 0.823868871 0.152888076
0.48 0.807433673 0.143529959
0.47 0.790167033 0.134883184
0.46 0.772099962 0.126916565
0.45 0.753270744 0.119597163
0.44 0.733724696 0.112890772
0.43 0.713513817 0.106762391
0.42 0.69269633 0.101176641
0.41 0.67133612 0.096098159
0.4 0.649502082 0.091491935
0.39 0.627267393 0.08732362
0.38 0.604708711 0.083559782
0.37 0.58190533 0.08016812
0.36 0.558938302 0.077117649
0.35 0.535889534 0.074378829
0.34 0.51284089 0.071923677
0.33 0.489873308 0.069725833
0.32 0.467065945 0.067760603
0.31 0.44449537 0.066004973
0.3 0.422234818 0.064437604
0.29 0.400353506 0.063038801
0.28 0.378916041 0.061790474
0.27 0.357981903 0.060676078
0.26 0.337605024 0.059680544
0.25 0.317833472 0.058790209
0.24 0.298709213 0.057992729
0.23 0.280267983 0.057276998
0.22 0.262539244 0.056633059
0.21 0.245546232 0.056052019
0.2 0.229306084 0.055525961
0.19 0.213830033 0.055047862
0.18 0.199123682 0.054611515
0.17 0.185187317 0.054211445
0.16 0.172016281 0.053842845
0.15 0.159601378 0.053501502
0.14 0.1479293 0.053183736
0.13 0.136983087 0.052886339
0.12 0.126742575 0.052606527
0.11 0.117184866 0.052341884
0.1 0.108284777 0.052090322
0.09 0.100015279 0.051850039
0.08 0.092347925 0.051619484
0.07 0.085253241 0.051397324
0.06 0.0787011 0.051182416
0.05 0.072661065 0.05097378
0.04 0.06710269 0.05077058
0.03 0.061995804 0.0505721
0.02 0.057310743 0.05037773
0.01 0.053018563 0.05018695
0 0.049091212 0.049999317
