"pi" "FHC" "HC"
1 0.999183875 0.655075335
0.99 0.998940093 0.637513511
0.98 0.998639643 0.619878604
0.97 0.998272819 0.602211354
0.96 0.997828866 0.584551706
0.95 0.997295956 0.566938579
0.94 0.996661176 0.549409657
0.93 0.995910527 0.532001201
0.92 0.995028942 0.51474788
0.91 0.994000311 0.497682616
0.9 0.992807527 0.480836465
0.89 0.991432548 0.464238503
0.88 0.989856469 0.447915742
0.87 0.988059619 0.431893066
0.86 0.986021665 0.416193182
0.85 0.983721737 0.400836596
0.84 0.981138565 0.385841601
0.83 0.978250628 0.371224288
0.82 0.975036318 0.356998565
0.81 0.971474112 0.3431762
0.8 0.967542753 0.32976687
0.79 0.963221437 0.316778222
0.78 0.958490005 0.304215952
0.77 0.953329141 0.292083882
0.76 0.947720562 0.280384054
0.75 0.941647211 0.269116828
0.74 0.935093447 0.258280979
0.73 0.928045223 0.247873809
0.72 0.920490258 0.237891252
0.71 0.912418196 0.228327984
0.7 0.903820753 0.219177538
0.69 0.894691845 0.210432411
0.68 0.885027705 0.202084172
0.67 0.874826975 0.194123576
0.66 0.86409078 0.18654066
0.65 0.852822785 0.179324851
0.64 0.841029222 0.172465059
0.63 0.828718906 0.165949773
0.62 0.815903216 0.159767147
0.61 0.802596064 0.153905085
0.6 0.788813836 0.148351317
0.59 0.774575317 0.143093475
0.58 0.759901587 0.138119158
0.57 0.744815908 0.133415991
0.56 0.729343585 0.128971688
0.55 0.713511816 0.124774099
0.54 0.697349519 0.120811252
0.53 0.68088716 0.117071402
0.52 0.664156554 0.113543059
0.51 0.64719067 0.110215022
0.5 0.630023422 0.107076404
0.49 0.612689454 0.104116656
0.48 0.595223933 0.10132558
0.47 0.577662325 0.098693351
0.46 0.560040189 0.096210517
0.45 0.542392962 0.093868017
0.44 0.52475576 0.091657177
0.43 0.507163173 0.089569715
0.42 0.489649086 0.087597742
0.41 0.47224649 0.085733755
0.4 0.454987327 0.083970635
0.39 0.437902326 0.082301639
0.38 0.421020869 0.080720391
0.37 0.404370863 0.079220876
0.36 0.38797863 0.077797427
0.35 0.371868809 0.076444712
0.34 0.356064282 0.075157727
0.33 0.340586104 0.073931779
0.32 0.325453459 0.072762474
0.31 0.310683625 0.071645706
0.3 0.296291955 0.070577642
0.29 0.282291876 0.069554708
0.28 0.268694897 0.068573577
0.27 0.255510633 0.067631156
0.26 0.242746838 0.066724571
0.25 0.230409454 0.065851158
0.24 0.218502664 0.065008446
0.23 0.20702896 0.06419415
0.22 0.195989215 0.063406156
0.21 0.185382765 0.06264251
0.2 0.175207491 0.061901409
0.19 0.165459916 0.061181191
0.18 0.156135294 0.060480323
0.17 0.147227712 0.059797395
0.16 0.138730187 0.059131107
0.15 0.130634765 0.058480266
0.14 0.122932623 0.057843772
0.13 0.115614168 0.057220619
0.12 0.108669134 0.056609878
0.11 0.102086675 0.056010699
0.1 0.095855464 0.055422302
0.09 0.089963772 0.05484397
0.08 0.084399562 0.054275045
0.07 0.079150566 0.053714925
0.06 0.074204359 0.053163055
0.05 0.069548436 0.052618929
0.04 0.065170272 0.052082078
0.03 0.061057389 0.051552077
0.02 0.057197407 0.05102853
0.01 0.053578098 0.050511079
0 0.050187432 0.049999389
