"pi" "FHC" "HC"
1 1 1
0.99 1 1
0.98 1 1
0.97 1 1
0.96 1 1
0.95 1 1
0.94 1 1
0.93 1 1
0.92 1 1
0.91 1 1
0.9 1 1
0.89 1 1
0.88 1 1
0.87 1 1
0.86 1 1
0.85 1 1
0.84 1 1
0.83 1 1
0.82 1 1
0.81 1 1
0.8 1 1
0.79 1 1
0.78 1 1
0.77 1 1
0.76 1 1
0.75 1 1
0.74 1 1
0.73 1 1
0.72 1 1
0.71 1 1
0.7 1 1
0.69 1 0.999999999
0.68 1 0.999999999
0.67 1 0.999999999
0.66 1 0.999999998
0.65 1 0.999999996
0.64 1 0.999999994
0.63 0.999999999 0.999999991
0.62 0.999999999 0.999999985
0.61 0.999999998 0.999999977
0.6 0.999999997 0.999999964
0.59 0.999999994 0.999999944
0.58 0.99999999 0.999999914
0.57 0.999999984 0.999999868
0.56 0.999999974 0.9999998
0.55 0.999999957 0.999999698
0.54 0.99999993 0.999999547
0.53 0.999999887 0.999999324
0.52 0.999999819 0.999998998
0.51 0.999999713 0.999998522
0.5 0.999999545 0.999997833
0.49 0.999999286 0.999996839
0.48 0.999998886 0.999995414
0.47 0.999998272 0.999993384
0.46 0.999997339 0.999990504
0.45 0.999995929 0.999986444
0.44 0.999993809 0.999980747
0.43 0.999990647 0.999972797
0.42 0.999985959 0.999961759
0.41 0.999979053 0.999946515
0.4 0.999968945 0.999925567
0.39 0.999954244 0.999896929
0.38 0.999933001 0.999857974
0.37 0.999902499 0.99980525
0.36 0.999858981 0.999734246
0.35 0.999797289 0.999639094
0.34 0.999710388 0.999512209
0.33 0.999588761 0.999343835
0.32 0.999419622 0.999121492
0.31 0.999185923 0.998829301
0.3 0.998865113 0.998447171
0.29 0.998427591 0.997949815
0.28 0.997834814 0.997305582
0.27 0.997037012 0.996475073
0.26 0.995970463 0.995409514
0.25 0.9945543 0.994048855
0.24 0.992686835 0.992319579
0.23 0.990241418 0.990132183
0.22 0.987061887 0.987378318
0.21 0.982957721 0.983927563
0.2 0.977699086 0.979623835
0.19 0.97101205 0.974281418
0.18 0.962574352 0.96768063
0.17 0.952012249 0.959563153
0.16 0.938899081 0.949627052
0.15 0.922756365 0.937521553
0.14 0.903058349 0.922841647
0.13 0.879241079 0.905122621
0.12 0.850717099 0.883834618
0.11 0.816896875 0.858377392
0.1 0.77721796 0.828075386
0.09 0.73118258 0.792173314
0.08 0.678403911 0.74983245
0.07 0.618660588 0.700127782
0.06 0.55195803 0.642046246
0.05 0.478593919 0.57448622
0.04 0.399223684 0.496258419
0.03 0.314920063 0.406088355
0.02 0.227219035 0.302620426
0.01 0.138142602 0.184423702
0 0.050187432 0.049999389
