"pi" "FHC" "HC"
1 0.999990608 0.999619121
0.99 0.999988208 0.999554467
0.98 0.999985236 0.999479904
0.97 0.999981563 0.999394094
0.96 0.999977037 0.999295545
0.95 0.999971475 0.999182598
0.94 0.999964657 0.999053416
0.93 0.999956321 0.998905963
0.92 0.999946157 0.998737996
0.91 0.999933794 0.998547042
0.9 0.999918797 0.998330388
0.89 0.999900648 0.99808506
0.88 0.999878742 0.99780781
0.87 0.999852368 0.997495092
0.86 0.999820692 0.997143055
0.85 0.999782744 0.996747519
0.84 0.999737393 0.996303958
0.83 0.999683328 0.99580749
0.82 0.999619032 0.995252855
0.81 0.999542755 0.994634406
0.8 0.999452483 0.993946091
0.79 0.999345904 0.993181446
0.78 0.999220376 0.992333578
0.77 0.999072883 0.991395163
0.76 0.998899992 0.990358436
0.75 0.998697813 0.989215188
0.74 0.998461942 0.987956763
0.73 0.998187415 0.98657406
0.72 0.997868648 0.985057538
0.71 0.997499383 0.983397224
0.7 0.997072622 0.981582722
0.69 0.996580567 0.97960323
0.68 0.996014557 0.977447558
0.67 0.995364997 0.97510415
0.66 0.994621292 0.972561113
0.65 0.993771787 0.969806248
0.64 0.992803694 0.966827084
0.63 0.991703033 0.963610917
0.62 0.990454572 0.96014486
0.61 0.989041775 0.956415885
0.6 0.98744675 0.952410877
0.59 0.985650212 0.948116693
0.58 0.98363145 0.943520219
0.57 0.981368313 0.938608433
0.56 0.9788372 0.933368471
0.55 0.976013074 0.927787699
0.54 0.972869487 0.921853778
0.53 0.969378632 0.91555474
0.52 0.965511407 0.908879056
0.51 0.961237512 0.901815717
0.5 0.956525567 0.894354298
0.49 0.951343259 0.886485036
0.48 0.945657514 0.878198898
0.47 0.939434706 0.869487648
0.46 0.932640889 0.860343911
0.45 0.925242069 0.850761238
0.44 0.917204499 0.840734157
0.43 0.908495012 0.830258224
0.42 0.899081381 0.819330074
0.41 0.888932708 0.807947451
0.4 0.878019836 0.796109248
0.39 0.866315791 0.783815522
0.38 0.85379624 0.771067517
0.37 0.840439956 0.75786767
0.36 0.826229308 0.744219606
0.35 0.81115074 0.730128134
0.34 0.795195251 0.715599222
0.33 0.778358869 0.700639976
0.32 0.760643099 0.685258598
0.31 0.742055344 0.669464348
0.3 0.722609291 0.653267483
0.29 0.702325253 0.636679204
0.28 0.681230446 0.619711584
0.27 0.659359212 0.602377496
0.26 0.63675316 0.584690533
0.25 0.613461227 0.566664923
0.24 0.589539647 0.548315442
0.23 0.565051825 0.529657316
0.22 0.540068104 0.510706136
0.21 0.514665423 0.491477756
0.2 0.488926871 0.471988196
0.19 0.462941122 0.452253555
0.18 0.436801765 0.432289909
0.17 0.410606522 0.412113225
0.16 0.384456372 0.391739274
0.15 0.358454574 0.371183547
0.14 0.332705614 0.350461179
0.13 0.307314081 0.329586877
0.12 0.282383484 0.308574856
0.11 0.258015044 0.287438778
0.1 0.234306455 0.266191708
0.09 0.211350661 0.244846065
0.08 0.189234655 0.223413591
0.07 0.168038324 0.201905326
0.06 0.147833373 0.180331583
0.05 0.128682344 0.158701944
0.04 0.110637754 0.137025251
0.03 0.093741371 0.115309615
0.02 0.078023659 0.093562421
0.01 0.063503385 0.071790347
0 0.050187432 0.049999389
