"pi" "FHC" "HC"
1 0.950529856 0.23428683
0.99 0.945740479 0.227053627
0.98 0.940648458 0.220066989
0.97 0.935247636 0.213322854
0.96 0.929532603 0.206816885
0.95 0.923498739 0.200544497
0.94 0.917142251 0.194500882
0.93 0.910460201 0.188681038
0.92 0.903450542 0.183079794
0.91 0.896112134 0.177691836
0.9 0.888444766 0.17251173
0.89 0.88044917 0.167533945
0.88 0.872127029 0.162752872
0.87 0.863480983 0.158162849
0.86 0.854514622 0.153758175
0.85 0.845232488 0.149533134
0.84 0.835640058 0.145482006
0.83 0.82574373 0.141599086
0.82 0.815550801 0.137878698
0.81 0.805069446 0.134315208
0.8 0.794308686 0.130903038
0.79 0.783278353 0.127636675
0.78 0.771989057 0.124510683
0.77 0.760452141 0.121519712
0.76 0.748679643 0.118658507
0.75 0.736684241 0.115921913
0.74 0.724479213 0.113304885
0.73 0.712078377 0.11080249
0.72 0.699496044 0.108409917
0.71 0.686746956 0.106122475
0.7 0.673846237 0.103935601
0.69 0.66080933 0.10184486
0.68 0.647651941 0.099845951
0.67 0.634389982 0.097934704
0.66 0.62103951 0.096107082
0.65 0.607616673 0.094359183
0.64 0.59413765 0.092687242
0.63 0.580618595 0.091087623
0.62 0.567075585 0.089556826
0.61 0.553524566 0.088091483
0.6 0.539981299 0.086688354
0.59 0.526461314 0.085344329
0.58 0.512979861 0.084056423
0.57 0.499551867 0.082821776
0.56 0.486191892 0.081637649
0.55 0.472914089 0.080501421
0.54 0.459732172 0.079410587
0.53 0.446659376 0.078362753
0.52 0.433708431 0.077355637
0.51 0.420891532 0.076387062
0.5 0.408220315 0.075454955
0.49 0.395705836 0.07455734
0.48 0.383358552 0.07369234
0.47 0.371188305 0.07285817
0.46 0.359204313 0.072053134
0.45 0.347415155 0.071275623
0.44 0.335828771 0.07052411
0.43 0.324452453 0.069797149
0.42 0.313292847 0.069093369
0.41 0.302355955 0.068411472
0.4 0.291647138 0.067750231
0.39 0.281171122 0.067108485
0.38 0.270932008 0.066485136
0.37 0.260933286 0.065879149
0.36 0.25117784 0.065289546
0.35 0.241667971 0.064715403
0.34 0.232405408 0.064155851
0.33 0.223391328 0.06361007
0.32 0.214626374 0.063077285
0.31 0.206110679 0.062556769
0.3 0.197843881 0.062047838
0.29 0.18982515 0.061549845
0.28 0.182053212 0.061062185
0.27 0.174526367 0.060584287
0.26 0.167242518 0.060115614
0.25 0.160199194 0.059655664
0.24 0.153393574 0.059203962
0.23 0.146822511 0.058760063
0.22 0.140482559 0.058323551
0.21 0.134369994 0.057894033
0.2 0.128480841 0.057471141
0.19 0.122810897 0.057054529
0.18 0.117355752 0.056643874
0.17 0.112110817 0.056238871
0.16 0.107071338 0.055839235
0.15 0.102232428 0.055444698
0.14 0.097589078 0.05505501
0.13 0.093136184 0.054669934
0.12 0.088868561 0.054289249
0.11 0.084780966 0.053912749
0.1 0.080868112 0.053540237
0.09 0.077124688 0.053171533
0.08 0.07354537 0.052806464
0.07 0.070124841 0.05244487
0.06 0.066857802 0.052086599
0.05 0.063738982 0.051731509
0.04 0.060763159 0.051379468
0.03 0.057925161 0.051030349
0.02 0.055219881 0.050684036
0.01 0.052642288 0.050340417
0 0.050187432 0.049999389
