N,HC
883,4.735700464
884,4.735700464
885,4.735700464
886,4.735700464
887,4.735700464
888,4.735700464
889,4.735700464
890,4.735700464
891,4.735700464
892,4.735700464
893,4.735700464
894,4.735700464
895,4.735700464
896,4.735700464
897,4.735700464
898,4.735700464
899,4.735700464
900,4.735700464
901,4.735700464
902,4.735700464
903,4.735700464
904,4.735700464
905,4.735700464
906,4.735700464
907,4.735700464
908,4.735795736
909,4.735795736
910,4.735795736
911,4.735795736
912,4.735795736
913,4.735795736
914,4.735795736
915,4.735795736
916,4.735795736
917,4.735795736
918,4.735795736
919,4.735795736
920,4.735795736
921,4.735795736
922,4.735795736
923,4.735795736
924,4.735795736
925,4.735795736
926,4.735795736
927,4.735795736
928,4.735795736
929,4.735795736
930,4.735795736
931,4.735795736
932,4.735795736
933,4.735795736
934,4.735795736
935,4.735795736
936,4.735795736
937,4.735795736
938,4.735795736
939,4.735795736
940,4.735795736
941,4.735795736
942,4.735795736
943,4.735795736
944,4.735795736
945,4.735795736
946,4.735891008
947,4.735891008
948,4.735891008
949,4.735891008
950,4.735891008
951,4.735891008
952,4.735891008
953,4.735891008
954,4.735891008
955,4.735891008
956,4.735891008
957,4.735891008
958,4.735891008
959,4.735891008
960,4.735891008
961,4.735891008
962,4.735891008
963,4.735891008
964,4.735891008
965,4.735891008
966,4.735891008
967,4.735891008
968,4.735891008
969,4.735891008
970,4.735891008
971,4.735891008
972,4.735891008
973,4.735891008
974,4.735891008
975,4.735891008
976,4.735891008
977,4.735891008
978,4.735891008
979,4.735891008
980,4.735891008
981,4.735891008
982,4.735891008
983,4.735891008
984,4.735891008
985,4.735891008
986,4.73598628
987,4.73598628
988,4.73598628
989,4.73598628
990,4.73598628
991,4.73598628
992,4.73598628
993,4.73598628
994,4.73598628
995,4.73598628
996,4.73598628
997,4.73598628
998,4.73598628
999,4.73598628
1000,4.73598628
